name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Neomoorella glycerini	55779	S	32	3	35	0.00000
Zhaonella formicivorans	2528593	S	75	0	75	0.00000
Metallumcola ferriviriculae	3039180	S	13	0	13	0.00000
Acetohalobium arabaticum	28187	S	25	0	25	0.00000
Halanaerobium hydrogeniformans	656519	S	14	7	21	0.00000
Halothermothrix orenii	31909	S	19	0	19	0.00000
Acetivibrio saccincola	1677857	S	28	0	28	0.00000
Acetivibrio clariflavus	288965	S	23	0	23	0.00000
Acetivibrio thermocellus	1515	S	19	0	19	0.00000
Biomaibacter acetigenes	2316383	S	26	0	26	0.00000
Mahella australiensis	252966	S	16	0	16	0.00000
Streptococcus salivarius	1304	S	29159	41912	71071	0.00233
Streptococcus vestibularis	1343	S	20958	10842	31800	0.00104
Streptococcus sp. FSL W7-1342	2954545	S	3773	47512	51285	0.00168
Streptococcus sp. LPB0220	2610896	S	1413	1619	3032	0.00010
Streptococcus sp. KHUD_012	3229851	S	1265	2163	3428	0.00011
Streptococcus sp. A12	1759399	S	1166	740	1906	0.00006
Streptococcus sp. KHUD_013	3413147	S	933	1200	2133	0.00007
Streptococcus sp. Marseille-Q3533	2759692	S	884	262	1146	0.00004
Streptococcus sp. KHUD_017	3466459	S	771	439	1210	0.00004
Streptococcus sp. FSL R7-0248	2975324	S	701	3386	4087	0.00013
Streptococcus sp. oral taxon 061	712623	S	584	316	900	0.00003
Streptococcus sp. CP1998	3238303	S	576	1028	1604	0.00005
Streptococcus sp. FDAARGOS_192	1839799	S	460	1546	2006	0.00007
Streptococcus sp. HSISS2	1316411	S	381	694	1075	0.00004
Streptococcus sp. 11-4097	2828286	S	381	547	928	0.00003
Streptococcus sp. ZY1909104	3233335	S	356	201	557	0.00002
Streptococcus sp. HSISS3	1316412	S	316	558	874	0.00003
Streptococcus sp. oral taxon 431	712633	S	261	164	425	0.00001
Streptococcus sp. KHUD_014	3434353	S	258	114	372	0.00001
Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006	3077584	S	246	123	369	0.00001
Streptococcus sp. NPS 308	1902136	S	205	182	387	0.00001
Streptococcus sp. FSL K6-1323	2954513	S	179	1496	1675	0.00005
Streptococcus sp. KHUD_015	3434352	S	134	103	237	0.00001
Streptococcus sp. KHUD_011	3157334	S	88	126	214	0.00001
Streptococcus sp. 517s	3469231	S	79	83	162	0.00001
Streptococcus sp. HJ1	3458239	S	75	225	300	0.00001
Streptococcus sp. SN-1	3074854	S	74	83	157	0.00001
Streptococcus sp. K0074	3402868	S	60	81	141	0.00000
Streptococcus sp. D7B5	3038077	S	57	226	283	0.00001
Streptococcus sp. KHUD_016	3434346	S	52	215	267	0.00001
Streptococcus sp. 1643	2576376	S	50	127	177	0.00001
Streptococcus sp. KHUD_018	3466483	S	41	61	102	0.00000
Streptococcus sp. 116-D4	2598453	S	38	68	106	0.00000
Streptococcus sp. oral taxon 064	712624	S	21	166	187	0.00001
Streptococcus sp. FSL W8-0197	2975349	S	17	172	189	0.00001
Streptococcus sp. NSJ-72	2763068	S	14	68	82	0.00000
Streptococcus parasanguinis	1318	S	10748	8407	19155	0.00063
Streptococcus sanguinis	1305	S	4203	1925	6128	0.00020
Streptococcus gordonii	1302	S	4169	648	4817	0.00016
Streptococcus oralis	1303	S	3104	3759	6863	0.00022
Streptococcus thermophilus	1308	S	2603	2918	5521	0.00018
Streptococcus mitis	28037	S	1900	1841	3741	0.00012
Streptococcus toyakuensis	2819619	S	84	177	261	0.00001
Streptococcus gwangjuensis	1433513	S	79	121	200	0.00001
Streptococcus anginosus	1328	S	822	1064	1886	0.00006
Streptococcus intermedius	1338	S	117	77	194	0.00001
Streptococcus constellatus	76860	S	73	193	266	0.00001
Streptococcus lingualis	3098076	S	951	1718	2669	0.00009
Streptococcus cristatus	45634	S	918	125	1043	0.00003
Streptococcus australis	113107	S	741	1030	1771	0.00006
Streptococcus gallolyticus	315405	S	674	2032	2706	0.00009
Streptococcus dentalis	3098075	S	523	1068	1591	0.00005
Streptococcus lactarius	684066	S	519	76	595	0.00002
Streptococcus parasuis	1501662	S	499	103	602	0.00002
Streptococcus ilei	1156431	S	431	718	1149	0.00004
Streptococcus infantis	68892	S	411	123	534	0.00002
Streptococcus pneumoniae	1313	S	279	1054	1333	0.00004
Streptococcus koreensis	2382163	S	261	438	699	0.00002
Streptococcus suis	1307	S	255	273	528	0.00002
Streptococcus rubneri	1234680	S	233	229	462	0.00002
Streptococcus agalactiae	1311	S	197	3777	3974	0.00013
Streptococcus nidrosiense	3140788	S	195	114	309	0.00001
Streptococcus mutans	1309	S	186	39	225	0.00001
Streptococcus tangpeifui	2709400	S	158	1	159	0.00001
Streptococcus equinus	1335	S	152	46	198	0.00001
Streptococcus lutetiensis	150055	S	138	110	248	0.00001
Streptococcus pasteurianus	197614	S	96	450	546	0.00002
Streptococcus parapneumoniae	2993430	S	95	134	229	0.00001
Streptococcus equi	1336	S	50	3	53	0.00000
Streptococcus dysgalactiae	1334	S	35	192	227	0.00001
Streptococcus periodonticum	2490633	S	72	192	264	0.00001
Streptococcus pyogenes	1314	S	52	666	718	0.00002
Streptococcus acidominimus	1326	S	47	5	52	0.00000
Streptococcus milleri	33040	S	44	163	207	0.00001
Streptococcus alactolyticus	29389	S	40	5	45	0.00000
Streptococcus pseudopneumoniae	257758	S	37	48	85	0.00000
Streptococcus infantarius	102684	S	36	46	82	0.00000
Streptococcus canis	1329	S	35	3	38	0.00000
Streptococcus pluranimalium	82348	S	32	1	33	0.00000
Streptococcus pseudoporcinus	361101	S	29	2	31	0.00000
Streptococcus pantholopis	1811193	S	26	0	26	0.00000
Streptococcus didelphis	102886	S	21	0	21	0.00000
Streptococcus suivaginalis	3028082	S	20	4	24	0.00000
Streptococcus merionis	400065	S	20	0	20	0.00000
Streptococcus himalayensis	1888195	S	18	1	19	0.00000
Streptococcus iniae	1346	S	16	0	16	0.00000
