"","SRR8146935","SRR8146936","SRR8146938","SRR8146951","SRR8146952","SRR8146954"
"Siccibacter turicensis",74,0,0,0,0,0
"Salmonella enterica",404,4763,4276,2235,5009,874
"Salmonella bongori",34,0,302,0,0,24
"Pseudescherichia vulneris",64,68,38,11,19,11
"Pseudocitrobacter corydidari",51,0,58,0,0,0
"Scandinavium goeteborgense",51,0,38,32,0,24
"Kluyvera sichuanensis",20,0,34,0,0,12
"Lelliottia amnigena",24,0,32,31,0,0
"Pluralibacter gergoviae",21,25,22,10,0,12
"Atlantibacter subterraneus",16,67,0,0,0,0
"Atlantibacter hermannii",10,0,0,0,66,0
"Enterobacteriaceae endosymbiont of Neohaemonia nigricornis",12,0,0,0,0,0
"Phytobacter ursingii",12,0,0,0,0,0
"Pantoea sp. GABEPS69",615,0,0,0,0,0
"Pantoea sp. Z09",23,0,0,0,0,0
"Pantoea sp. SO10",59,0,0,0,0,0
"Pantoea agglomerans",449,0,136,42,23,57
"Pantoea ananatis",81,0,19,78,525,0
"Pantoea vagans",56,0,38,0,0,43
"Pantoea piersonii",28,0,0,0,0,0
"Erwinia sp. E602",49,0,68,97,0,13
"Erwinia sp. HDF1-3R",21,0,0,0,0,0
"Candidatus Erwinia haradaeae",18,0,28,22,0,14
"Erwinia rhapontici",19,0,16,25,0,25
"Erwinia persicina",17,0,0,0,0,0
"Erwinia pyrifoliae",19,17,80,0,0,0
"Buchnera aphidicola",109,65,87,133,152,44
"Duffyella gerundensis",46,0,0,0,0,0
"Tatumella ptyseos",21,0,0,24,0,0
"Serratia marcescens",358,586,116,21,108,0
"Serratia inhibens",40,0,0,0,0,0
"Serratia plymuthica",25,16,56,16,16,0
"Serratia aquatilis",11,0,0,0,11,0
"Rahnella aceris",83,0,0,0,13,0
"Nissabacter sp. SGAir0207",13,0,11,0,0,0
"Proteus vulgaris",181,0,311,0,0,0
"Xenorhabdus stockiae",100,0,0,0,0,0
"Xenorhabdus bovienii",16,0,0,0,0,0
"Providencia sp. R33",62,0,0,0,0,0
"Morganella morganii",13,0,64,0,24,39
"Dickeya lacustris",105,0,0,0,0,0
"Pectobacterium parmentieri",97,0,89,0,0,0
"Brenneria goodwinii",36,0,0,0,18,0
"Musicola paradisiaca",40,0,66,0,0,0
"Hafnia paralvei",178,0,156,0,0,0
"Hafnia alvei",49,0,53,0,0,795
"Edwardsiella piscicida",26,0,0,0,0,0
"Edwardsiella ictaluri",12,0,0,0,0,0
"Leminorella richardii",18,0,0,0,0,14
"Leminorella grimontii",12,0,17,0,0,0
"Xanthomonas euvesicatoria",101758,116333,133846,122465,72427,42295
"Xanthomonas translucens",60,0,18,0,0,0
"Xanthomonas boreopolis",20,0,12,0,0,0
"Xanthomonas axonopodis",19,0,11,12,0,0
"Xanthomonas theicola",13,0,0,0,0,0
"Stenotrophomonas maltophilia",228,45,47,79,89,95
"Stenotrophomonas sp. ESTM1D_MKCIP4_1",66,0,0,0,0,0
"Stenotrophomonas lacuserhaii",108,0,0,0,0,0
"Stenotrophomonas sp. JC08",50,20,32,0,0,0
"Stenotrophomonas rhizophila",59,0,32,0,0,32
"Pseudoxanthomonas sp. SL93",348,0,422,0,0,0
"Pseudoxanthomonas mexicana",95,0,109,138,16,35
"Pseudoxanthomonas beigongshangi",54,0,92,12,0,0
"Pseudoxanthomonas japonensis",19,0,0,0,0,0
"Pseudoxanthomonas daejeonensis",11,0,11,0,0,0
"Lysobacter sp. CW239",52,0,0,0,0,0
"Lysobacter sp. FW306-1B-D06B",29,0,12,0,0,18
"Lysobacter sp. K5869",29,0,123,0,118,0
"Lysobacter sp. KIS68-7",23,0,0,0,0,0
"Lysobacter sp. TY2-98",11,0,19,0,0,43
"Lysobacter soli",82,249,77,0,0,0
"Lysobacter soyae",33,0,0,0,0,0
"Lysobacter antibioticus",15,0,0,0,0,0
"Luteimonas sp. R10",35,0,0,0,0,0
"Thermomonas carbonis",16,0,0,12,0,0
"Thermomonas brevis",12,0,0,0,0,0
"Pseudoluteimonas lycopersici",30,0,0,0,0,0
"Dyella sp. Tek66A03",45,0,0,0,0,0
"Dyella sp. M7H15-1",21,13,0,0,0,0
"Dyella sp. GSA-30",11,0,0,0,0,0
"Dyella halodurans",74,0,49,0,0,0
"Dyella thailandensis",25,0,0,0,0,0
"Dyella caseinilytica",21,0,13,0,0,0
"Dyella japonica",21,0,0,0,0,0
"Dyella aluminiiresistens",17,0,27,0,0,0
"Dyella terrae",10,0,0,0,0,0
"Luteibacter jiangsuensis",103,0,0,0,0,0
"Luteibacter anthropi",14,0,0,0,0,0
"Aerosticca soli",96,0,85,0,0,0
"Rhodanobacter glycinis",39,0,19,0,11,17
"Rhodanobacter thiooxydans",15,0,67,51,16,45
"Frateuria soli",12,0,0,22,0,0
"Tahibacter amnicola",10,0,36,0,0,0
"Pseudomonas sp. MM227",59,63,45,0,18,0
"Pseudomonas sp. gcc21",57,0,25,55,20,66
"Pseudomonas sp. SC11",96,0,0,0,0,0
"Pseudomonas sp. NyZ201",34,0,0,0,0,0
"Pseudomonas sp. App30",33,0,12,0,0,0
"Pseudomonas sp. S2_H10",39,0,0,0,0,0
"Pseudomonas sp. TUM22785",48,0,0,0,0,0
"Pseudomonas sp. S2_H01",16,0,57,0,0,0
"Pseudomonas sp. R2-37-08W",93,0,0,0,0,0
"Pseudomonas sp. KnCO4",21,0,0,0,0,0
"Pseudomonas sp. L7",14,0,11,0,0,68
"Pseudomonas sp. MH10",81,0,0,0,0,0
"Pseudomonas putida",750,50,1788,280,748,144
"Pseudomonas oryzihabitans",28,98,21,0,0,13
"Pseudomonas fulva",25,0,17,0,0,0
"Pseudomonas plecoglossicida",13,0,0,0,0,0
"Pseudomonas orientalis",142,0,69,14,0,0
"Pseudomonas fluorescens",130,304,105,36,30,68
"Pseudomonas rhodesiae",24,0,0,19,0,16
"Pseudomonas brenneri",23,0,0,0,0,0
"Pseudomonas purpurea",167,0,0,0,0,0
"Pseudomonas avellanae",61,0,0,0,0,0
"Pseudomonas syringae",42,0,75,0,38,0
"Pseudomonas donghuensis",328,0,52,0,0,0
"Pseudomonas aeruginosa",380,735,479,220,254,363
"Pseudomonas citronellolis",56,0,88,0,0,0
"Pseudomonas nitroreducens",24,0,0,0,0,0
"Pseudomonas sediminis",134,0,0,0,33,29
"Pseudomonas chlororaphis",44,0,33,0,0,0
"Pseudomonas wenzhouensis",35,0,0,0,0,0
"Pseudomonas leptonychotis",21,0,0,0,0,0
"Pseudomonas abieticivorans",19,0,0,0,0,0
"Pseudomonas xanthosomatis",23,0,0,0,0,0
"Pseudomonas phoenicis",18,0,0,0,0,0
"Pseudomonas juntendi",85,0,0,0,0,0
"Pseudomonas entomophila",18,0,147,18,0,0
"Pseudomonas marincola",12,0,12,0,0,0
"Pseudomonas palleroniana",14,0,0,23,0,0
"Pseudomonas knackmussii",21,0,0,0,0,0
"Halopseudomonas nanhaiensis",44,0,0,0,0,0
"Halopseudomonas litoralis",31,0,39,71,13,16
"Halopseudomonas sp. SMJS2",11,0,22,0,0,0
"Stutzerimonas stutzeri",71,0,229,59,20,20
"Stutzerimonas zhaodongensis",27,0,34,0,0,0
"Ectopseudomonas mendocina",55,0,193,0,18,0
"Metapseudomonas otitidis",27,15,28,0,13,0
"Metapseudomonas lalkuanensis",12,0,0,0,0,0
"Thiopseudomonas denitrificans",28,0,0,0,11,0
"Aquipseudomonas alcaligenes",22,0,14,0,0,0
"Azotobacter chroococcum",16,0,29,0,0,0
"Entomomonas sp. E2T0",10,0,0,0,0,0
"Geopseudomonas guangdongensis",14,0,0,0,0,0
"Marinobacter nanhaiticus",27,0,18,0,0,0
"Marinobacter adhaerens",87,0,0,0,0,0
"Candidatus Njordibacter sp. Uisw_039",12,0,0,0,0,15
"Halomonas sp. 3H",222,0,27,58,64,18
"Halomonas sp. JS92-SW72",143,0,36,0,0,25
"Halomonas sp. BM-2019",68,0,14,0,0,0
"Halomonas sp. M4R1S46",29,0,28,0,0,0
"Halomonas sp. I5-271120",17,25,50,0,0,0
"Halomonas sp. A40-4",16,0,0,0,41,0
"Halomonas sp. M1",13,0,23,0,0,0
"Halomonas sp. 7T",14,0,0,0,0,0
"Halomonas aestuarii",52,0,131,0,0,0
"Halomonas piscis",35,367,0,41,22,0
"Halomonas elongata",12,0,0,0,0,0
"Candidatus Carsonella ruddii",512,782,551,823,836,252
"Vreelandella aquamarina",140,0,127,0,15,0
"Vreelandella subglaciescola",12,0,11,0,0,0
"Kushneria marisflavi",81,0,12,0,0,0
"Kushneria sp. Sum13",23,0,41,0,0,20
"Salinicola endophyticus",46,0,0,0,0,0
"Billgrantia tianxiuensis",43,0,38,48,0,0
"Cobetia marina",19,0,131,0,0,27
"Cobetia sp. UIB-001",14,0,0,0,0,0
