"","SRR8146935","SRR8146936","SRR8146938","SRR8146951","SRR8146952","SRR8146954"
"Mycobacterium saskatchewanense",0,0,14,0,0,0
"Mycobacterium kubicae",0,0,13,0,0,0
"Mycobacterium mantenii",0,0,10,0,0,0
"Mycobacterium paraintracellulare",0,0,36,0,0,0
"Mycobacterium noviomagense",0,0,39,0,0,0
"Mycobacterium adipatum",0,0,39,366,0,0
"Mycobacterium xenopi",0,0,22,0,0,0
"Mycobacterium pumcae",0,0,21,16,0,0
"Mycobacterium riyadhense",0,0,15,0,0,0
"Mycobacterium dioxanotrophicus",0,0,12,0,0,0
"Mycobacterium malmoense",0,0,12,0,0,0
"Mycobacterium lacus",0,0,11,0,0,0
"Mycobacterium decipiens",0,0,10,0,0,0
"Mycolicibacterium alvei",0,0,64,0,0,0
"Mycolicibacterium rufum",0,0,64,0,0,0
"Mycolicibacterium confluentis",0,0,46,0,0,0
"Mycolicibacterium sp. YH-1",0,0,13,0,0,0
"Mycolicibacterium iranicum",0,0,41,0,0,0
"Mycolicibacterium goodii",0,0,35,18,0,0
"Mycolicibacterium mageritense",0,0,28,16,0,0
"Mycolicibacterium parafortuitum",0,0,23,0,27,0
"Mycolicibacterium frederiksbergense",0,0,26,0,0,0
"Mycolicibacterium boenickei",0,0,27,0,0,0
"Mycolicibacterium monacense",0,0,25,0,0,0
"Mycolicibacterium vaccae",0,0,20,0,0,0
"Mycolicibacterium diernhoferi",0,0,16,0,0,0
"Mycolicibacterium tokaiense",0,0,14,0,0,0
"Mycolicibacterium baixiangningiae",0,0,16,0,0,0
"Mycolicibacterium duvalii",0,0,13,0,0,0
"Mycobacteroides salmoniphilum",0,0,14,0,0,0
"Mycolicibacillus koreensis",0,0,62,0,0,14
"Mycolicibacter minnesotensis",0,0,15,0,0,0
"Mycolicibacter terrae",0,0,12,0,0,0
"Corynebacterium maris",0,0,136,0,0,0
"Corynebacterium axilliensis",0,0,329,0,0,0
"Corynebacterium callunae",0,0,57,0,0,0
"Corynebacterium faecale",0,0,57,0,0,0
"Corynebacterium hesseae",0,0,73,0,37,0
"Corynebacterium propinquum",0,0,52,50,0,0
"Corynebacterium pseudopelargi",0,0,42,13,0,0
"Corynebacterium auriscanis",0,0,25,0,0,0
"Corynebacterium aquilae",0,0,23,0,0,0
"Corynebacterium bovis",0,0,23,0,0,0
"Corynebacterium glyciniphilum",0,0,18,0,0,0
"Corynebacterium freneyi",0,0,19,0,0,0
"Corynebacterium qintianiae",0,0,19,0,0,0
"Corynebacterium rouxii",0,0,23,0,0,38
"Corynebacterium pseudotuberculosis",0,0,16,0,0,0
"Corynebacterium vitaeruminis",0,0,15,0,0,0
"Corynebacterium kalinowskii",0,0,12,0,0,0
"Corynebacterium kutscheri",0,0,12,0,0,0
"Corynebacterium renale",0,0,12,11,0,0
"Corynebacterium guangdongense",0,0,11,14,0,0
"Corynebacterium glaucum",0,0,12,0,11,0
"Corynebacterium jamesii",0,0,14,0,0,0
"Corynebacterium hansenii",0,0,12,0,0,0
"Corynebacterium cystitidis",0,0,10,0,0,0
"Corynebacterium nuruki",0,0,10,0,0,0
"Nocardia sp. CA-128927",0,0,66,0,29,0
"Nocardia sp. CA-107356",0,0,29,0,0,0
"Nocardia sp. NBC_00511",0,0,15,0,0,0
"Nocardia sp. NBC_01730",0,0,15,0,91,0
"Nocardia sp. CA-136227",0,0,17,0,0,0
"Nocardia sp. NBC_01388",0,0,14,0,0,0
"Nocardia sp. PE-7",0,0,15,0,37,0
"Nocardia sp. NBC_01329",0,0,10,0,0,0
"Nocardia iowensis",0,0,184,0,0,0
"Nocardia testacea",0,0,38,0,0,0
"Nocardia grenadensis",0,0,18,0,0,0
"Nocardia otitidiscaviarum",0,0,18,0,0,0
"Nocardia puris",0,0,17,0,0,0
"Nocardia farcinica",0,0,17,0,0,0
"Nocardia nova",0,0,11,0,0,0
"Rhodococcus sp. MTM3W5.2",0,0,11,0,0,0
"Rhodococcus sp. NBC_00297",0,0,65,0,0,0
"Rhodococcus sacchari",0,0,17,0,0,0
"Rhodococcus antarcticus",0,0,11,0,0,0
"Rhodococcus aetherivorans",0,0,124,0,0,0
"Prescottella soli",0,0,106,0,0,0
"Gordonia sp. MP11Mi",0,0,40,0,0,0
"Gordonia zhaorongruii",0,0,44,0,0,0
"Gordonia polyisoprenivorans",0,0,52,0,0,0
"Gordonia phthalatica",0,0,15,0,0,0
"Dietzia sp. B32",0,0,20,0,0,0
"Dietzia cinnamea",0,0,21,0,0,0
"Tsukamurella paurometabola",0,0,10,0,0,0
"Tomitella fengzijianii",0,0,11,47,0,0
"Lawsonella clevelandensis",0,0,13,0,0,0
"Streptomyces sp. NBC_01207",0,0,521,0,0,0
"Streptomyces sp. NBC_01012",0,0,116,0,0,0
"Streptomyces sp. NBC_01235",0,0,112,0,52,0
"Streptomyces sp. EAS-AB2608",0,0,844,0,0,0
"Streptomyces sp. ADI95-16",0,0,123,41,0,36
"Streptomyces sp. Tu 2975",0,0,64,0,0,0
"Streptomyces sp. FXJ1.172",0,0,67,0,26,0
"Streptomyces sp. ST1015",0,0,56,0,0,0
"Streptomyces sp. NBC_01217",0,0,67,0,0,0
"Streptomyces sp. NBC_00299",0,0,108,0,55,51
"Streptomyces sp. NBC_00690",0,0,39,0,0,13
"Streptomyces sp. R02",0,0,256,0,0,0
"Streptomyces sp. NBC_01537",0,0,40,0,28,0
"Streptomyces sp. WAC 01438",0,0,33,0,0,0
"Streptomyces sp. NBC_00576",0,0,38,76,0,0
"Streptomyces sp. HUAS 31",0,0,46,0,0,0
"Streptomyces sp. WAC 06738",0,0,74,0,0,0
"Streptomyces sp. Inha503",0,0,35,0,0,0
"Streptomyces sp. BYX5S",0,0,29,0,0,18
"Streptomyces sp. NBC_01237",0,0,27,0,0,0
"Streptomyces sp. Y1",0,0,31,0,0,0
"Streptomyces sp. LX-29",0,0,23,0,0,0
"Streptomyces sp. NBC_01788",0,0,26,0,0,0
"Streptomyces sp. NBC_01431",0,0,22,0,0,0
"Streptomyces sp. NBC_01343",0,0,30,0,0,0
"Streptomyces sp. HUAS TT20",0,0,22,0,0,0
"Streptomyces sp. NBC_00996",0,0,25,0,0,0
"Streptomyces sp. BI20",0,0,18,27,0,0
"Streptomyces sp. CB01881",0,0,26,0,0,0
"Streptomyces sp. PCS3-D2",0,0,22,0,0,0
"Streptomyces sp. NBC_00344",0,0,16,0,0,0
"Streptomyces sp. NBC_01390",0,0,23,0,0,0
"Streptomyces sp. XD-27",0,0,21,0,0,0
"Streptomyces sp. NBC_01171",0,0,21,0,0,0
"Streptomyces sp. NBC_01178",0,0,22,0,0,0
"Streptomyces sp. NBC_00285",0,0,19,0,0,0
"Streptomyces sp. NBC_00376",0,0,26,0,0,0
"Streptomyces sp. NBC_01515",0,0,41,0,0,0
"Streptomyces sp. NBC_01216",0,0,17,40,33,46
"Streptomyces sp. NBC_01716",0,0,17,0,0,0
"Streptomyces sp. NBC_01538",0,0,22,0,0,0
"Streptomyces sp. NBC_01476",0,0,15,0,0,0
"Streptomyces sp. NBC_01283",0,0,16,0,0,16
"Streptomyces sp. SJL17-4",0,0,34,0,0,0
"Streptomyces sp. NBC_01233",0,0,25,0,0,0
"Streptomyces sp. R39",0,0,17,0,0,0
"Streptomyces sp. E-08",0,0,19,0,0,0
"Streptomyces sp. NBC_01022",0,0,38,0,0,0
"Streptomyces sp. GD-15H",0,0,16,0,0,0
"Streptomyces sp. NBC_00663",0,0,22,0,0,0
"Streptomyces sp. NBC_00441",0,0,76,0,0,0
"Streptomyces sp. SAT1",0,0,16,0,0,0
"Streptomyces sp. NBC_01335",0,0,16,0,0,0
"Streptomyces sp. NBC_00101",0,0,166,0,0,0
"Streptomyces sp. Rer75",0,0,20,0,0,0
"Streptomyces sp. CA-294286",0,0,12,14,0,0
"Streptomyces sp. HSG2",0,0,11,0,0,0
"Streptomyces sp. NBC_00304",0,0,123,0,0,0
"Streptomyces sp. NBC_01800",0,0,58,0,0,0
"Streptomyces sp. NBC_01176",0,0,18,0,0,0
"Streptomyces sp. QTS137",0,0,17,0,0,0
"Streptomyces sp. NBC_00028",0,0,17,0,0,0
"Streptomyces phaeoluteigriseus",0,0,76,0,0,0
"Streptomyces fagopyri",0,0,176,0,0,0
"Streptomyces violaceusniger",0,0,24,0,0,0
"Streptomyces rapamycinicus",0,0,21,0,0,0
"Streptomyces iranensis",0,0,15,0,0,0
"Streptomyces roseochromogenus",0,0,107,0,0,0
"Streptomyces alboflavus",0,0,88,0,0,0
"Streptomyces netropsis",0,0,80,0,0,36
"Streptomyces platensis",0,0,71,0,0,0
"Streptomyces genisteinicus",0,0,45,0,0,0
"Streptomyces aureoverticillatus",0,0,44,106,0,15
"Streptomyces yaanensis",0,0,41,0,0,0
"Streptomyces fradiae",0,0,63,0,38,0
"Streptomyces tsukubensis",0,0,32,0,0,12
"Streptomyces cynarae",0,0,33,0,0,0
"Streptomyces albidoflavus",0,0,225,0,0,0
"Streptomyces decoyicus",0,0,43,0,0,0
"Streptomyces solicamelliae",0,0,29,0,0,0
"Streptomyces actuosus",0,0,28,0,21,0
"Streptomyces armeniacus",0,0,23,12,30,22
"Streptomyces peucetius",0,0,24,0,0,0
"Streptomyces huangiella",0,0,22,21,0,0
"Streptomyces roseicoloratus",0,0,23,0,0,0
"Streptomyces prunicolor",0,0,22,0,0,0
"Streptomyces griseochromogenes",0,0,17,0,0,0
"Streptomyces cinnabarinus",0,0,19,0,0,0
"Streptomyces asoensis",0,0,24,0,0,0
"Streptomyces formicae",0,0,17,108,0,0
"Streptomyces spongiicola",0,0,16,0,0,0
"Streptomyces flavofungini",0,0,17,0,0,0
"Streptomyces coeruleorubidus",0,0,19,0,0,0
"Streptomyces acidiscabies",0,0,15,0,0,0
"Streptomyces ferrugineus",0,0,14,0,18,0
"Streptomyces violarus",0,0,26,0,0,0
"Streptomyces kanamyceticus",0,0,17,0,24,0
"Streptomyces luteoverticillatus",0,0,13,0,0,0
"Streptomyces finlayi",0,0,13,0,0,0
"Streptomyces kordofanensis",0,0,13,0,0,0
"Streptomyces argyrophylli",0,0,14,0,0,0
"Streptomyces viridosporus",0,0,15,0,0,0
"Kitasatospora sp. MMS16-BH015",0,0,88,0,0,0
"Kitasatospora sp. NA04385",0,0,44,0,0,0
"Kitasatospora sp. CM 4170",0,0,35,32,0,0
"Kitasatospora sp. KL5",0,0,21,0,21,0
"Kitasatospora sp. NBC_00374",0,0,19,0,0,0
"Kitasatospora sp. NBC_01246",0,0,21,0,20,21
"Kitasatospora sp. NBC_00070",0,0,19,22,0,0
"Kitasatospora sp. CMC57",0,0,20,0,0,0
"Kitasatospora sp. NBC_01266",0,0,15,0,0,0
"Kitasatospora sp. McL0602",0,0,13,0,0,34
"Kitasatospora herbaricolor",0,0,23,18,0,0
"Kitasatospora fiedleri",0,0,20,0,25,0
"Kitasatospora setae",0,0,17,0,0,0
"Streptantibioticus cattleyicolor",0,0,79,0,0,0
"Embleya sp. NBC_00888",0,0,32,0,79,0
"Peterkaempfera podocarpi",0,0,28,0,0,0
"Microbacterium sp. Y-01",0,0,55,0,126,0
"Microbacterium sp. YJN-G",0,0,43,0,0,0
"Microbacterium sp. LWH10-1.2",0,0,39,0,0,0
"Microbacterium sp. CJ88",0,0,38,0,0,0
"Microbacterium sp. M",0,0,24,0,0,0
"Microbacterium sp. LWH11-1.2",0,0,53,0,0,0
"Microbacterium sp. PA5",0,0,14,0,0,0
"Microbacterium sp. Clip185",0,0,15,0,0,0
"Microbacterium betulae",0,0,139,21,0,0
"Microbacterium abyssi",0,0,144,0,0,0
"Microbacterium esteraromaticum",0,0,111,0,0,0
"Microbacterium chionoecetis",0,0,117,0,0,0
"Microbacterium lemovicicum",0,0,102,0,0,0
"Microbacterium rhizosphaerae",0,0,42,0,0,0
"Microbacterium aerolatum",0,0,39,16,26,85
"Microbacterium testaceum",0,0,39,0,0,0
"Microbacterium azadirachtae",0,0,25,0,0,0
"Microbacterium amylolyticum",0,0,16,0,0,13
"Microbacterium pratiae",0,0,25,0,0,0
"Microbacterium horticulturae",0,0,16,0,0,0
"Microbacterium sediminis",0,0,20,0,0,0
"Microbacterium foliorum",0,0,42,0,0,0
"Microbacterium lushaniae",0,0,18,0,0,0
"Paramicrobacterium sp. CJ85",0,0,217,0,0,0
"Paramicrobacterium chengjingii",0,0,162,0,0,0
"Salinibacterium sp. ZJ450",0,0,13,0,0,0
"Curtobacterium sp. MR_MD2014",0,0,65,0,0,0
"Curtobacterium sp. MCPF17_002",0,0,33,0,0,0
"Curtobacterium sp. MCBA15_004",0,0,59,0,0,0
"Curtobacterium sp. SP.BCp",0,0,46,0,0,0
"Curtobacterium sp. MCSS17_007",0,0,14,0,0,0
"Agromyces bauzanensis",0,0,133,0,19,0
"Agromyces sp. LHK192",0,0,27,0,0,0
"Agromyces mangrovi Wang et al. 2018",0,0,48,0,37,0
"Agromyces endophyticus",0,0,24,0,0,0
"Leifsonia sp. McL0608",0,0,63,0,0,0
"Leifsonia sp. ZF2019",0,0,17,0,0,0
"Leifsonia sp. PS1209",0,0,13,0,0,0
"Leifsonia shinshuensis",0,0,30,0,0,0
"Leucobacter chromiireducens",0,0,62,0,22,0
"Leucobacter insecticola",0,0,24,43,26,39
"Agrococcus sp. Marseille-Q4369",0,0,115,0,0,0
"Agrococcus phoenicis",0,0,12,0,0,0
"Cryobacterium sp. SO2",0,0,39,0,0,0
"Plantibacter sp. PA-3-X8",0,0,92,0,0,0
"Aquiluna sp. Uisw_065",0,0,25,0,0,0
"Protaetiibacter sp. SSC-01",0,0,42,0,0,0
"Frondihabitans sucicola",0,0,24,0,35,0
"Frigoribacterium sp. SL97",0,0,16,0,0,0
"Subtercola endophyticus",0,0,21,0,0,18
"Marisediminicola antarctica",0,0,11,0,0,0
"Rothia similmucilaginosa",0,0,21,208,0,20
"Rothia kristinae",0,0,19,59,0,0
"Rothia amarae",0,0,11,0,0,0
"Arthrobacter sp. Hor0625",0,0,219,0,0,0
"Arthrobacter sp. R3-55",0,0,65,0,54,17
"Arthrobacter sp. A5",0,0,41,0,0,0
"Arthrobacter sp. zg-Y919",0,0,29,0,0,0
"Arthrobacter sp. KN11-1C",0,0,29,0,0,0
"Arthrobacter sp. StoSoilA2",0,0,56,0,0,0
"Arthrobacter sp. KBS0702",0,0,21,0,0,0
"Arthrobacter sp. StoSoilB20",0,0,18,0,0,0
"Arthrobacter sp. PAMC 25486",0,0,15,0,0,0
"Arthrobacter sp. PAMC25284",0,0,13,0,0,0
"Arthrobacter dokdonensis",0,0,61,0,17,0
"Arthrobacter sunyaminii",0,0,47,0,0,0
"Arthrobacter antioxidans",0,0,34,0,0,0
"Arthrobacter agilis",0,0,32,0,0,0
"Arthrobacter alpinus",0,0,33,29,52,0
"Arthrobacter caoxuetaonis",0,0,19,0,0,0
"Arthrobacter sulfonylureivorans",0,0,17,0,0,0
"Arthrobacter humicola",0,0,15,0,0,0
"Arthrobacter citreus",0,0,11,0,0,0
"Pseudarthrobacter sp. BIM B-2242",0,0,78,0,0,0
"Pseudarthrobacter sp. J47",0,0,31,0,0,0
"Pseudarthrobacter sp. H2",0,0,21,0,0,0
"Pseudarthrobacter sp. MM222",0,0,12,0,0,0
"Pseudarthrobacter sp. WHRI 8279",0,0,15,0,0,0
"Kocuria sp. MNB10",0,0,48,0,0,0
"Kocuria rosea",0,0,38,0,0,0
"Glutamicibacter creatinolyticus",0,0,29,0,0,0
"Glutamicibacter protophormiae",0,0,75,0,0,0
"Sinomonas atrocyanea",0,0,22,0,0,0
"Citricoccus sp. SGAir0253",0,0,21,0,0,0
"Pseudoglutamicibacter albus",0,0,16,0,0,18
"Arsenicicoccus sp. oral taxon 190",0,0,121,0,0,0
"Phycicoccus endophyticus",0,0,40,0,0,0
"Janibacter sp. GS2",0,0,13,0,17,0
"Janibacter indicus",0,0,37,0,0,0
"Janibacter terrae",0,0,18,16,0,0
"Oryzobacter terrae",0,0,95,0,13,30
"Pedococcus dokdonensis",0,0,41,0,0,0
"Terrabacter sp. BE26",0,0,17,0,0,0
"Nostocoides sp. HKS02",0,0,18,0,0,0
"Humibacillus xanthopallidus",0,0,15,0,0,0
"Cellulomonas sp. H30R-01",0,0,17,0,0,0
"Cellulomonas sp. JZ18",0,0,13,0,0,0
"Cellulomonas gilvus",0,0,66,29,0,33
"Cellulomonas hominis",0,0,55,0,0,0
"Cellulomonas chengniuliangii",0,0,37,0,0,0
"Cellulomonas bogoriensis",0,0,30,0,0,0
"Cellulomonas flavigena",0,0,24,0,0,0
"Cellulomonas dongxiuzhuiae",0,0,22,0,13,0
"Cellulomonas soli",0,0,21,0,0,0
"Cellulomonas shaoxiangyii",0,0,15,0,0,0
"Paraoerskovia marina",0,0,51,0,0,0
"Actinotalea sp. JY-7876",0,0,18,0,30,0
"Cellulosimicrobium sp. ES-005",0,0,79,0,0,0
"Cellulosimicrobium sp. So1_17",0,0,13,0,0,0
"Promicromonospora sp. MS192",0,0,47,0,0,0
"Isoptericola variabilis",0,0,20,0,0,0
"Isoptericola dokdonensis",0,0,23,0,0,0
"Brevibacterium sp. CS2",0,0,23,0,0,0
"Brevibacterium luteolum",0,0,25,0,0,0
"Brevibacterium casei",0,0,54,0,0,0
"Brachybacterium sp. Z12",0,0,98,0,0,0
"Brachybacterium sp. UNK5269",0,0,18,143,0,39
"Dermabacter vaginalis",0,0,25,0,0,0
"Devriesea agamarum",0,0,17,0,0,0
"Ornithinimicrobium sufpigmenti",0,0,11,0,0,0
"Serinicoccus hydrothermalis",0,0,17,0,0,0
"Serinicoccus marinus",0,0,15,0,0,0
"Sanguibacter keddieii",0,0,56,17,91,0
"Sanguibacter sp. HDW7",0,0,34,0,29,0
"Sanguibacter biliveldensis",0,0,28,0,0,0
"Ruania alkalisoli",0,0,39,0,0,0
"Ruania halotolerans",0,0,39,0,0,0
"Dermacoccus nishinomiyaensis",0,0,33,0,0,0
"Allobranchiibius sp. GilTou73",0,0,35,0,0,0
"Luteipulveratus mongoliensis",0,0,10,0,0,0
"Austwickia chelonae",0,0,11,0,0,15
"Pengzhenrongella phosphoraccumulans",0,0,16,0,0,0
"Luteimicrobium xylanilyticum",0,0,12,0,0,0
"Jonesia denitrificans",0,0,11,0,0,0
"Nocardioides sp. WG-D5",0,0,64,0,0,0
"Nocardioides sp. zg-1228",0,0,65,0,0,0
"Nocardioides sp. N13(2025)",0,0,53,0,0,0
"Nocardioides sp. InS609-2",0,0,18,0,0,0
"Nocardioides sp. CF8",0,0,20,0,0,0
"Nocardioides sp. LMS-CY",0,0,17,0,0,0
"Nocardioides sp. L-11A",0,0,18,0,0,0
"Nocardioides faecalis",0,0,66,0,0,0
"Nocardioides daphniae",0,0,64,0,0,0
"Nocardioides panacis",0,0,20,0,0,0
"Nocardioides mesophilus",0,0,17,0,0,0
"Nocardioides sambongensis",0,0,17,0,0,0
"Nocardioides terrisoli",0,0,14,0,0,0
"Nocardioides aquaticus",0,0,15,0,0,0
"Nocardioides dongxiaopingii",0,0,15,0,0,0
"Aeromicrobium erythreum",0,0,23,0,0,0
"Aeromicrobium chenweiae",0,0,12,0,0,0
"Pimelobacter simplex",0,0,65,0,20,0
"Tessaracoccus sp. Y36",0,0,38,0,0,0
"Tessaracoccus palaemonis",0,0,102,0,0,0
"Propioniciclava coleopterorum",0,0,72,0,0,0
"Propioniciclava soli",0,0,50,0,13,0
"Propionimicrobium sp. PCR01-08-3",0,0,121,0,0,0
"Acidipropionibacterium virtanenii",0,0,10,0,0,0
"Ammonicoccus fulvus",0,0,10,0,16,0
"Kribbella sp. CA-247076",0,0,113,0,25,0
"Kribbella sp. CA-253562",0,0,95,0,0,0
"Kribbella sp. CA-245084",0,0,48,0,0,0
"Kribbella sp. NBC_00359",0,0,15,0,0,0
"Kribbella sp. CA-294648",0,0,11,0,0,0
"Micromonospora sp. NBC_01412",0,0,140,0,0,0
"Micromonospora sp. HM134",0,0,123,0,0,0
"Micromonospora sp. IBHARD004",0,0,32,0,0,0
"Micromonospora sp. NBC_01699",0,0,17,0,0,0
"Verrucosispora sp. WMMC514",0,0,29,0,0,0
"Micromonospora sp. NBC_00898",0,0,23,0,0,0
"Micromonospora sp. NBC_00858",0,0,57,0,0,0
"Micromonospora sp. NBC_01813",0,0,14,0,0,0
"Micromonospora sp. WMMD998",0,0,27,0,0,0
"Micromonospora globbae",0,0,36,0,0,0
"Micromonospora harpali",0,0,120,0,51,0
"Micromonospora ureilytica",0,0,36,0,0,0
"Micromonospora peucetia",0,0,22,0,0,0
"Micromonospora profundi",0,0,17,0,0,0
"Micromonospora maris",0,0,18,0,0,24
"Dactylosporangium sp. CA-233914",0,0,48,0,16,0
"Dactylosporangium sp. CA-139114",0,0,58,0,0,0
"Dactylosporangium sp. CA-052675",0,0,27,0,0,0
"Dactylosporangium roseum",0,0,21,0,0,0
"Dactylosporangium matsuzakiense",0,0,48,0,0,0
"Dactylosporangium vinaceum",0,0,39,0,0,30
"Actinoplanes sp. HUAS TT8",0,0,99,57,32,62
"Actinoplanes sp. N902-109",0,0,43,0,0,0
"Actinoplanes missouriensis",0,0,72,0,0,0
"Actinoplanes teichomyceticus",0,0,17,0,0,0
"Actinoplanes sichuanensis",0,0,12,0,0,28
"Plantactinospora sp. KBS50",0,0,152,0,0,0
"Plantactinospora sp. WMMC1484",0,0,80,0,0,0
"Actinocatenispora sera",0,0,35,0,27,0
"Actinocatenispora thailandica",0,0,17,0,0,0
"Polymorphospora rubra",0,0,33,0,0,0
"Phytohabitans suffuscus",0,0,27,0,18,0
"Salinispora tropica",0,0,27,0,0,0
"Schaalia sp. 19OD2882",0,0,10,27,0,0
"Trueperella pecoris",0,0,121,0,15,0
"Actinomyces viscosus",0,0,150,134,93,0
"Actinomyces faecalis",0,0,45,0,0,0
"Actinomyces capricornis",0,0,13,11,0,0
"Actinomyces weissii",0,0,12,0,0,0
"Actinomyces qiguomingii",0,0,10,16,0,10
"Actinomyces lilanjuaniae",0,0,10,0,0,0
"Scrofimicrobium appendicitidis",0,0,120,0,0,0
"Arcanobacterium hippocoleae",0,0,17,15,0,0
"Arcanobacterium wilhelmae",0,0,11,0,0,0
"Winkia neuii",0,0,18,0,0,0
"Changpingibacter yushuensis",0,0,15,0,0,15
"Buchananella felis",0,0,11,0,0,0
"Amycolatopsis sp. cg9",0,0,170,0,0,27
"Amycolatopsis sp. Hca4",0,0,38,0,0,0
"Amycolatopsis sp. AA4",0,0,35,0,0,0
"Amycolatopsis sp. YIM 10",0,0,29,0,0,0
"Amycolatopsis sp. CA-161197",0,0,27,0,0,28
"Amycolatopsis sp. NBC_00345",0,0,16,0,0,0
"Amycolatopsis sp. WGS_07",0,0,14,37,0,0
"Amycolatopsis keratiniphila",0,0,41,0,0,0
"Amycolatopsis orientalis",0,0,27,0,0,0
"Amycolatopsis thermalba",0,0,26,0,0,0
"Amycolatopsis methanolica",0,0,22,0,0,0
"Amycolatopsis aidingensis",0,0,14,0,0,0
"Amycolatopsis cynarae",0,0,14,0,0,0
"Amycolatopsis nalaikhensis",0,0,15,0,38,0
"Amycolatopsis rhizosphaerihabitans",0,0,14,0,0,0
"Pseudonocardia xinjiangensis",0,0,27,0,0,0
"Pseudonocardia broussonetiae",0,0,18,0,0,0
"Pseudonocardia dioxanivorans",0,0,14,0,0,0
"Pseudonocardia alni",0,0,18,0,0,0
"Saccharopolyspora gregorii",0,0,34,0,0,0
"Saccharopolyspora rosea",0,0,17,0,0,0
"Saccharopolyspora pogona",0,0,20,0,0,0
"Lentzea sp. JNUCC 0626",0,0,35,0,0,0
"Lentzea sp. HUAS TT2",0,0,49,0,0,0
"Lentzea sp. NBC_00516",0,0,39,0,0,0
"Lentzea xerophila",0,0,20,11,0,0
"Actinokineospora sp. HUAS TT18",0,0,87,0,0,0
"Actinokineospora auranticolor",0,0,35,0,17,0
"Kutzneria sp. CA-103260",0,0,38,68,0,13
"Kutzneria albida",0,0,11,0,0,14
"Actinoalloteichus sp. AHMU CJ021",0,0,101,0,0,0
"Actinosynnema sp. CS-041913",0,0,61,0,0,0
"Saccharomonospora azurea",0,0,16,0,14,0
"Saccharomonospora marina",0,0,10,0,0,0
"Prauserella marina",0,0,41,0,13,0
"Crossiella sp. CA-258035",0,0,29,0,15,0
"Kibdelosporangium phytohabitans",0,0,11,0,27,0
"Allokutzneria albata",0,0,11,0,0,0
"Nonomuraea sp. NBC_00507",0,0,61,0,0,0
"Nonomuraea sp. CA-141351",0,0,37,96,55,0
"[Actinomadura] parvosata",0,0,52,34,0,0
"Nonomuraea glycinis",0,0,27,0,0,0
"Nonomuraea phyllanthi",0,0,21,21,0,0
"Streptosporangium sp. 'caverna'",0,0,50,0,14,15
"Streptosporangium roseum",0,0,15,0,0,0
"Microbispora hainanensis",0,0,19,0,0,0
"Sphaerimonospora sp. CA-214678",0,0,53,0,15,0
"Actinomadura luteofluorescens",0,0,19,11,0,0
"Actinomadura verrucosospora",0,0,15,0,0,0
"Thermomonospora amylolytica",0,0,65,0,0,0
"Spirillospora sp. NBC_01491",0,0,34,0,0,0
"Nocardiopsis gilva",0,0,50,0,0,0
"Nocardiopsis sp. M1B1",0,0,30,0,0,0
"Nocardiopsis sp. CA-288880",0,0,42,0,0,0
"Nocardiopsis exhalans",0,0,12,25,0,35
"Thermobifida fusca",0,0,14,79,0,0
"Thermobifida halotolerans",0,0,14,0,0,0
"Geodermatophilus sp. DSM 44513",0,0,22,0,0,0
"Geodermatophilus obscurus",0,0,23,13,0,0
"Blastococcus sp. HT6-30",0,0,59,0,0,0
"Angustibacter sp. McL0619",0,0,102,0,31,0
"Kineococcus sp. DHX-1",0,0,10,0,0,0
"Kineococcus radiotolerans",0,0,11,0,0,0
"Nakamurella antarctica",0,0,65,0,0,10
"Nakamurella sp. PAMC28650",0,0,12,0,0,0
"Nakamurella sp. A5-74",0,0,11,0,0,11
"Frankia alni",0,0,11,0,0,0
"Georgenia faecalis",0,0,46,0,0,0
"Georgenia wutianyii",0,0,35,0,0,0
"Georgenia yuyongxinii",0,0,13,0,75,0
"Candidatus Planktophila versatilis",0,0,14,0,0,0
"Candidatus Nanopelagicus limnae",0,0,18,0,0,0
"Natronoglycomyces albus",0,0,49,51,29,58
"Bounagaea algeriensis",0,0,28,0,0,0
"Aquihabitans sp. McL0605",0,0,297,0,16,0
"Aquihabitans daechungensis",0,0,69,0,0,13
"Candidatus Spongiisocius sp.",0,0,20,0,0,0
"Capillimicrobium parvum",0,0,157,10,11,22
"Conexibacter sp. S30A1",0,0,29,0,37,0
"Conexibacter sp. DBS9H8",0,0,14,57,0,0
"Miltoncostaea oceani",0,0,25,17,0,19
"Miltoncostaea marina",0,0,15,0,38,0
"Rubrobacter indicoceani",0,0,19,0,0,0
"Egibacter rhizosphaerae",0,0,27,0,0,0
"Synechococcus sp. RS9909",0,0,181,0,0,0
"Synechococcus sp. Minos11",0,0,87,0,0,0
"Synechococcus sp. CCFWC 502",0,0,149,0,0,0
"Synechococcus sp. MIT S9508",0,0,60,0,0,22
"Synechococcus sp. JA-3-3Ab",0,0,21,24,0,35
"Synechococcus sp. WH 8101",0,0,22,0,0,0
"Synechococcus sp. PCC 7336",0,0,15,0,0,0
"Synechococcus sp. RS9907",0,0,34,0,0,0
"Synechococcus sp. A15-28",0,0,17,0,0,0
"Synechococcus elongatus",0,0,21,58,0,0
"Prochlorococcus marinus",0,0,113,44,0,0
"Cyanobium sp. NS01",0,0,38,0,0,0
"Cyanobium sp. BSA11S",0,0,21,0,0,0
"Synechocystis sp. LKSZ1",0,0,17,0,0,0
"Altericista sp. CCNU0014",0,0,16,33,34,59
"Nostoc sp. DSM 114167",0,0,57,44,32,41
"Anabaena azotica",0,0,57,0,20,0
